Sample in Buffer,Sample in Window,TRIGGER,filter_i/v_out[24:0],rst_1
263,263,0,8388499,0
264,264,0,8388499,0
265,265,0,8388499,0
266,266,0,8388499,0
267,267,0,8388499,0
268,268,0,8388499,0
269,269,0,8388499,0
270,270,0,8388499,0
271,271,0,8388499,0
272,272,0,8388499,0
273,273,0,8388499,0
274,274,0,8388499,0
275,275,0,8388499,0
276,276,0,8388499,0
277,277,0,8388499,0
278,278,0,8388499,0
279,279,0,8388499,0
280,280,0,8388499,0
281,281,0,8388499,0
282,282,0,8388499,0
283,283,0,8388499,0
284,284,0,8388499,0
285,285,0,8388499,0
286,286,0,8388499,0
287,287,0,8388499,0
288,288,0,8388499,0
289,289,0,8388499,0
290,290,0,8388499,0
291,291,0,8388499,0
292,292,0,8388499,0
293,293,0,8388499,0
294,294,0,8388499,0
295,295,0,8388499,0
296,296,0,8388499,0
297,297,0,8388499,0
298,298,0,8388499,0
299,299,0,8388499,0
300,300,0,8388499,0
301,301,0,8388499,0
302,302,0,8388499,0
303,303,0,8388499,0
304,304,0,8388499,0
305,305,0,8388499,0
306,306,0,8388499,0
307,307,0,8388499,0
308,308,0,8388499,0
309,309,0,8388499,0
310,310,0,8388499,0
311,311,0,8388499,0
312,312,0,8388499,0
313,313,0,8388499,0
314,314,0,8388499,0
315,315,0,8388499,0
316,316,0,8388499,0
317,317,0,8388499,0
318,318,0,8388499,0
319,319,0,8388499,0
320,320,0,8388499,0
321,321,0,8388499,0
322,322,0,8388499,0
323,323,0,8388499,0
324,324,0,8388499,0
325,325,0,8388499,0
326,326,0,8388499,0
327,327,0,8388499,0
328,328,0,8388499,0
329,329,0,8388499,0
330,330,0,8388499,0
331,331,0,8388499,0
332,332,0,8388499,0
333,333,0,8388499,0
334,334,0,8388499,0
335,335,0,8388499,0
336,336,0,8388499,0
337,337,0,8388499,0
338,338,0,8388499,0
339,339,0,8388499,0
340,340,0,8388499,0
341,341,0,8388499,0
342,342,0,8388499,0
343,343,0,8388499,0
344,344,0,8388499,0
345,345,0,8388499,0
346,346,0,8388499,0
347,347,0,8388499,0
348,348,0,8388499,0
349,349,0,8388499,0
350,350,0,8388499,0
351,351,0,8388499,0
352,352,0,8388499,0
353,353,0,8388499,0
354,354,0,8388499,0
355,355,0,8388499,0
356,356,0,8388499,0
357,357,0,8388499,0
358,358,0,8388499,0
359,359,0,8388499,0
360,360,0,8388499,0
361,361,0,8388499,0
362,362,0,8388499,0
363,363,0,8388499,0
364,364,0,8388499,0
365,365,0,8388499,0
366,366,0,8388499,0
367,367,0,8388499,0
368,368,0,8388499,0
369,369,0,8388499,0
370,370,0,8388499,0
371,371,0,8388499,0
372,372,0,8388499,0
